Non-Penalty Goals,0.00,15
Non-Penalty xG,0.05,42
Shots Total,0.65,30
Assists,0.16,84
xAG,0.10,64
npxG + xAG,0.15,52
Shot-Creating Actions,2.28,53
Passes Attempted,47.28,53
Pass Completion %,81.4,49
Progressive Passes,3.26,10
Progressive Carries,0.33,4
Successful Take-Ons,0.33,17
Touches (Att Pen),0.98,52
Progressive Passes Rec,2.45,67
Tackles,2.12,55
Interceptions,0.98,41
Blocks,1.47,83
Clearances,0.82,28
Aerials won,1.79,90
Goals,0.00,15
Assists,0.16,84
Goals + Assists,0.16,60
Non-Penalty Goals,0.00,15
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.49,3
Red Cards,0.00,62
xG,0.05,41
Non-Penalty xG,0.05,42
xAG,0.10,64
npxG + xAG,0.15,52
Progressive Carries,0.33,4
Progressive Passes,3.26,10
Progressive Passes Rec,2.45,67
Goals,0.00,15
Shots Total,0.65,30
Shots on target,0.49,83
Shots on target %,75.0,99
Goals/Shot,0.00,15
Goals/Shot on target,0.00,15
Average Shot Distance,23.20,44
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.05,41
Non-Penalty xG,0.05,42
npxG/Sh,0.07,59
Goals - xG,-0.05,12
Non-Penalty Goals - npxG,-0.05,12
Passes Completed,38.48,52
Passes Attempted,47.28,53
Pass Completion %,81.4,49
Total Passing Distance,526.96,24
Progressive Passing Distance,147.23,20
Passes Completed (Short),21.68,80
Passes Attempted (Short),24.46,82
Pass Completion % (Short),88.7,54
Passes Completed (Medium),12.55,27
Passes Attempted (Medium),15.16,26
Pass Completion % (Medium),82.8,27
Passes Completed (Long),1.30,3
Passes Attempted (Long),2.61,4
Pass Completion % (Long),50.0,14
Assists,0.16,84
xAG,0.10,64
Expected Assists,0.11,71
Key Passes,1.14,67
Passes into Final Third,2.77,14
Passes into Penalty Area,0.49,36
Crosses into Penalty Area,0.16,70
Progressive Passes,3.26,10
Passes Attempted,47.28,53
Live-ball passes,45.98,57
Dead-ball passes,1.30,29
Passes from Free Kicks,0.49,16
Through Balls,0.16,72
Switches,0.00,1
Crosses,0.65,46
Throw-Ins taken,0.65,82
Corner Kicks,0.16,63
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.16,70
Straight Corner Kicks,0.00,42
Passes Completed,38.48,52
Passes Offside,0.00,98
Passes Blocked,1.14,9
Shot-Creating Actions,2.28,53
SCA (PassLive),2.12,72
SCA (PassDead),0.00,16
SCA (TO),0.00,17
SCA (Sh),0.00,9
SCA (Fld),0.16,83
SCA (Def),0.00,15
Goal-Creating Actions,0.49,94
GCA (PassLive),0.33,90
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.16,99
GCA (Def),0.00,43
Tackles,2.12,55
Tackles Won,1.14,51
Tackles (Def 3rd),0.82,50
Tackles (Mid 3rd),1.14,67
Tackles (Att 3rd),0.16,36
Dribblers Tackled,0.65,27
Dribbles Challenged,1.30,12
% of dribblers tackled,50.0,65
Challenges Lost,0.65,89
Blocks,1.47,83
Shots Blocked,0.16,28
Passes Blocked,1.30,94
Interceptions,0.98,41
Tkl+Int,3.10,50
Clearances,0.82,28
Errors,0.00,67
Touches,57.39,52
Touches (Def Pen),0.98,11
Touches (Def 3rd),11.90,49
Touches (Mid 3rd),32.93,46
Touches (Att 3rd),13.04,62
Touches (Att Pen),0.98,52
Touches (Live-Ball),57.39,52
Take-Ons Attempted,0.98,38
Successful Take-Ons,0.33,17
Successful Take-On %,33.3,5
Times Tackled During Take-On,0.49,56
Tackled During Take-On Percentage,50.0,19
Carries,26.90,31
Total Carrying Distance,89.35,5
Progressive Carrying Distance,41.25,8
Progressive Carries,0.33,4
Carries into Final Third,0.65,18
Carries into Penalty Area,0.00,5
Miscontrols,0.65,92
Dispossessed,0.82,45
Passes Received,37.34,53
Progressive Passes Rec,2.45,67
Yellow Cards,0.49,3
Red Cards,0.00,62
Second Yellow Card,0.00,56
Fouls Committed,1.30,51
Fouls Drawn,0.82,35
Offsides,0.33,1
Crosses,0.65,46
Interceptions,0.98,41
Tackles Won,1.14,51
Penalty Kicks Won,0.16,99
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,4.57,5
Aerials won,1.79,90
Aerials lost,2.77,1
% of Aerials Won,39.3,24
