Non-Penalty Goals,0.00,1
Non-Penalty xG,0.07,2
Shots Total,1.46,18
Assists,0.24,67
xAG,0.10,9
npxG + xAG,0.17,1
Shot-Creating Actions,3.40,36
Passes Attempted,41.12,68
Pass Completion %,79.4,88
Progressive Passes,3.76,47
Progressive Carries,2.55,38
Successful Take-Ons,2.06,76
Touches (Att Pen),1.46,2
Progressive Passes Rec,6.06,28
Tackles,2.55,98
Interceptions,0.85,91
Blocks,0.36,5
Clearances,0.12,7
Aerials won,0.85,76
Goals,0.00,1
Assists,0.24,67
Goals + Assists,0.24,15
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.12,69
Red Cards,0.00,59
xG,0.07,2
Non-Penalty xG,0.07,2
xAG,0.10,9
npxG + xAG,0.17,1
Progressive Carries,2.55,38
Progressive Passes,3.76,47
Progressive Passes Rec,6.06,28
Goals,0.00,1
Shots Total,1.46,18
Shots on target,0.24,2
Shots on target %,16.7,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,21.50,24
Shots from free kicks,0.00,19
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
xG,0.07,2
Non-Penalty xG,0.07,2
npxG/Sh,0.05,2
Goals - xG,-0.07,20
Non-Penalty Goals - npxG,-0.07,18
Passes Completed,32.63,73
Passes Attempted,41.12,68
Pass Completion %,79.4,88
Total Passing Distance,415.67,49
Progressive Passing Distance,102.01,42
Passes Completed (Short),21.47,90
Passes Attempted (Short),23.65,88
Pass Completion % (Short),90.8,94
Passes Completed (Medium),8.73,53
Passes Attempted (Medium),11.28,47
Pass Completion % (Medium),77.4,53
Passes Completed (Long),0.73,10
Passes Attempted (Long),2.18,21
Pass Completion % (Long),33.3,2
Assists,0.24,67
xAG,0.10,9
Expected Assists,0.12,22
Key Passes,1.21,20
Passes into Final Third,2.06,43
Passes into Penalty Area,1.33,52
Crosses into Penalty Area,0.24,43
Progressive Passes,3.76,47
Passes Attempted,41.12,68
Live-ball passes,39.06,73
Dead-ball passes,2.06,41
Passes from Free Kicks,0.49,48
Through Balls,0.24,64
Switches,0.12,22
Crosses,2.06,33
Throw-Ins taken,0.73,63
Corner Kicks,0.85,45
Inswinging Corner Kicks,0.24,41
Outswinging Corner Kicks,0.24,50
Straight Corner Kicks,0.00,38
Passes Completed,32.63,73
Passes Offside,0.00,98
Passes Blocked,0.97,60
Shot-Creating Actions,3.40,36
SCA (PassLive),2.43,40
SCA (PassDead),0.24,47
SCA (TO),0.12,24
SCA (Sh),0.24,56
SCA (Fld),0.12,26
SCA (Def),0.24,99
Goal-Creating Actions,0.24,16
GCA (PassLive),0.24,41
GCA (PassDead),0.00,28
GCA (TO),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,2.55,98
Tackles Won,1.58,99
Tackles (Def 3rd),0.85,91
Tackles (Mid 3rd),0.97,93
Tackles (Att 3rd),0.73,99
Dribblers Tackled,0.85,88
Dribbles Challenged,2.18,88
% of dribblers tackled,38.9,53
Challenges Lost,1.33,12
Blocks,0.36,5
Shots Blocked,0.12,74
Passes Blocked,0.24,3
Interceptions,0.85,91
Tkl+Int,3.40,98
Clearances,0.12,7
Errors,0.00,54
Touches,51.55,62
Touches (Def Pen),0.73,57
Touches (Def 3rd),6.55,78
Touches (Mid 3rd),24.38,73
Touches (Att 3rd),21.59,38
Touches (Att Pen),1.46,2
Touches (Live-Ball),51.55,62
Take-Ons Attempted,4.97,85
Successful Take-Ons,2.06,76
Successful Take-On %,41.5,33
Times Tackled During Take-On,2.30,86
Tackled During Take-On Percentage,46.3,53
Carries,32.26,58
Total Carrying Distance,211.29,67
Progressive Carrying Distance,100.19,67
Progressive Carries,2.55,38
Carries into Final Third,1.58,25
Carries into Penalty Area,0.49,24
Miscontrols,1.21,98
Dispossessed,1.46,43
Passes Received,36.27,59
Progressive Passes Rec,6.06,28
Yellow Cards,0.12,69
Red Cards,0.00,59
Second Yellow Card,0.00,53
Fouls Committed,1.21,33
Fouls Drawn,2.06,71
Offsides,0.24,47
Crosses,2.06,33
Interceptions,0.85,91
Tackles Won,1.58,99
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,7.16,99
Aerials won,0.85,76
Aerials lost,1.58,19
% of Aerials Won,35.0,52
