Non-Penalty Goals,0.22,60
Non-Penalty xG,0.22,59
Shots Total,2.06,46
Assists,0.00,2
xAG,0.08,5
npxG + xAG,0.30,19
Shot-Creating Actions,2.79,17
Passes Attempted,44.19,76
Pass Completion %,80.8,93
Progressive Passes,5.24,74
Progressive Carries,3.90,79
Successful Take-Ons,2.90,95
Touches (Att Pen),3.29,44
Progressive Passes Rec,9.08,80
Tackles,2.51,98
Interceptions,1.00,95
Blocks,1.17,78
Clearances,0.67,73
Aerials won,0.50,50
Goals,0.22,51
Assists,0.00,2
Goals + Assists,0.22,15
Non-Penalty Goals,0.22,60
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.11,72
Red Cards,0.00,59
xG,0.22,43
Non-Penalty xG,0.22,59
xAG,0.08,5
npxG + xAG,0.30,19
Progressive Carries,3.90,79
Progressive Passes,5.24,74
Progressive Passes Rec,9.08,80
Goals,0.22,51
Shots Total,2.06,46
Shots on target,0.72,45
Shots on target %,35.1,53
Goals/Shot,0.11,63
Goals/Shot on target,0.31,61
Average Shot Distance,18.10,59
Shots from free kicks,0.00,19
Penalty Kicks Made,0.00,32
Penalty Kicks Attempted,0.00,28
xG,0.22,43
Non-Penalty xG,0.22,59
npxG/Sh,0.11,65
Goals - xG,0.01,52
Non-Penalty Goals - npxG,0.01,55
Passes Completed,35.72,80
Passes Attempted,44.19,76
Pass Completion %,80.8,93
Total Passing Distance,477.42,64
Progressive Passing Distance,109.06,43
Passes Completed (Short),21.51,90
Passes Attempted (Short),24.35,90
Pass Completion % (Short),88.3,82
Passes Completed (Medium),11.09,74
Passes Attempted (Medium),13.10,64
Pass Completion % (Medium),84.7,95
Passes Completed (Long),1.06,19
Passes Attempted (Long),2.17,21
Pass Completion % (Long),48.7,49
Assists,0.00,2
xAG,0.08,5
Expected Assists,0.13,26
Key Passes,1.06,16
Passes into Final Third,2.23,47
Passes into Penalty Area,1.95,82
Crosses into Penalty Area,0.17,25
Progressive Passes,5.24,74
Passes Attempted,44.19,76
Live-ball passes,43.36,83
Dead-ball passes,0.61,11
Passes from Free Kicks,0.11,19
Through Balls,0.45,87
Switches,0.11,20
Crosses,1.39,22
Throw-Ins taken,0.22,21
Corner Kicks,0.28,37
Inswinging Corner Kicks,0.06,34
Outswinging Corner Kicks,0.06,40
Straight Corner Kicks,0.00,38
Passes Completed,35.72,80
Passes Offside,0.22,38
Passes Blocked,1.34,20
Shot-Creating Actions,2.79,17
SCA (PassLive),2.17,30
SCA (PassDead),0.06,31
SCA (TO),0.22,45
SCA (Sh),0.17,28
SCA (Fld),0.06,8
SCA (Def),0.11,90
Goal-Creating Actions,0.06,1
GCA (PassLive),0.06,2
GCA (PassDead),0.00,28
GCA (TO),0.00,25
GCA (Sh),0.00,22
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,2.51,98
Tackles Won,1.56,99
Tackles (Def 3rd),1.00,98
Tackles (Mid 3rd),0.95,91
Tackles (Att 3rd),0.56,95
Dribblers Tackled,0.95,94
Dribbles Challenged,1.95,84
% of dribblers tackled,48.6,80
Challenges Lost,1.00,31
Blocks,1.17,78
Shots Blocked,0.00,9
Passes Blocked,1.17,86
Interceptions,1.00,95
Tkl+Int,3.51,99
Clearances,0.67,73
Errors,0.00,54
Touches,57.85,78
Touches (Def Pen),0.61,44
Touches (Def 3rd),6.30,72
Touches (Mid 3rd),25.86,76
Touches (Att 3rd),26.64,67
Touches (Att Pen),3.29,44
Touches (Live-Ball),57.85,78
Take-Ons Attempted,5.24,91
Successful Take-Ons,2.90,95
Successful Take-On %,55.3,85
Times Tackled During Take-On,2.01,78
Tackled During Take-On Percentage,38.3,86
Carries,38.73,84
Total Carrying Distance,259.08,89
Progressive Carrying Distance,129.73,89
Progressive Carries,3.90,79
Carries into Final Third,3.07,88
Carries into Penalty Area,0.84,48
Miscontrols,2.67,32
Dispossessed,1.28,56
Passes Received,45.36,84
Progressive Passes Rec,9.08,80
Yellow Cards,0.11,72
Red Cards,0.00,59
Second Yellow Card,0.00,53
Fouls Committed,1.84,5
Fouls Drawn,1.56,43
Offsides,0.22,50
Crosses,1.39,22
Interceptions,1.00,95
Tackles Won,1.56,99
Penalty Kicks Won,0.00,32
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.18,36
Aerials won,0.50,50
Aerials lost,1.45,24
% of Aerials Won,25.7,26
